name,spike,length,width,height,He,sd,U,err,Th,err,Ca,err,P,err,Si,err,Cl,err,Sm,err,U,err,Th,err,Sr,err,Mn,err,Y,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],43,[cps],31,[cps],29,[cps],35,[cps],147,[cps],235,[cps],230,[cps],88,[cps],55,[cps],89,[cps]
B2-1,0.0555,205.7,93.2,,0.0269,0.001,36600.034375,687.6208574934,38105.85140625,974.5778647219,3036458.89453125,176773.096219754,19326180.7205469,1218004.76885706,1303467.228125,962161.360920053,2857830.43070312,67386.4365587586,45736.420625,770.6330780823,171028.4440625,2809.7798956579,193586.06453125,2453.0480574486,6988837.5928125,177774.954871144,7507053.9440625,294067.715312352,1606451.53414062,55079.9427828694
B2-2,0.0553,229.5,115.7,,0.0258,0.0013453624,29711.42796875,597.239528995,8473.71671875,312.3683302955,1700858.99640625,89157.7463267388,22683146.4199219,1204522.5981658,621944.480156251,248857.191725231,108177.572265625,17939.3257335949,31885.73453125,573.1397848137,170216.6590625,2302.97043129,185918.08015625,1851.8013566611,712266.1896875,21781.3520902842,2258433.38578125,71784.4345365985,1503575.49351563,43389.7773267062
B2-3,0.0563,240,104.5,,0.0261,0.001,22509.62859375,507.8858170134,6031.2090625,206.9160507765,1728752.80171875,86711.6915554398,22409079.9349219,1546890.67401011,720702.270468751,324115.307308152,96493.3292968747,13084.159768354,22200.74328125,486.8595372353,169014.149375,2852.4896329391,195720.1796875,2526.3990774951,733046.72578125,22221.059373196,2243606.90234375,92473.222100835,1316304.15648437,42077.5811207439
B2-4,0.0553,220.4,98.6,,0.0142,0.0009,24978.91109375,567.536522464,12223.78375,400.2502378632,1569978.6,69276.152464998,20275084.9160156,992870.947403021,673589.3909375,251030.620273692,115965.105703125,14727.7174070706,25013.82359375,546.2778361259,168032.7246875,2606.7876469386,195541.750625,2776.8233916267,671243.90234375,25164.8745063581,2119412.359375,76602.4158986918,1358672.95445312,35819.9326248061
B3-1,0.0565,230.2,113.2,,0.1031,0.0015,77872.260625,1158.9171452764,125867.28546875,1724.4871460206,1569315.35625,99333.9926860299,19812721.1127344,992740.587331622,786578.07453125,237839.50880392,141207.241640625,15821.1375125952,189111.82890625,2246.104182149,171944.0709375,2450.9612716321,199766.4271875,2819.7033223308,552415.92265625,17539.6839472834,5044135.9571875,218375.445233176,6038124.08679688,159550.743997934
B3-2,0.0564,224.3,124.7,,0.1916,0.0019235384,95289.73046875,1379.2213033291,177547.589375,2332.8681143285,2745929.6621875,122954.036383905,31415322.3233594,2005770.52869106,882966.568749999,689036.084664177,-22189.1711718748,12321.5900418583,323786.93453125,3393.723218648,171397.071875,2245.0461151681,197265.64953125,2466.2685888814,1240495.13171875,33852.4706345837,8807821.30109375,361414.124158416,9499832.30648438,277647.615587826
B3-3,0.0559,226.2,106.9,,0.0948,0.0015,69070.49546875,1206.4831144293,130389.37375,1593.2363770386,1849347.58109375,87169.7404145291,24431398.7788281,1473711.5286968,735494.4596875,243140.323513639,83601.153671875,16186.7041991758,279786.7715625,3358.0264158817,170703.40109375,2662.2595140834,199629.31234375,2001.8863434158,495622.4965625,16871.5940691729,6387799.0971875,228179.873382371,8992753.69382812,339862.892778162
B3-4,0.0556,192.6,101.7,,0.0513,0.001,39740.1615625,841.4453215827,83869.486875,1211.9409384699,812450.9221875,37616.9206500709,10828847.3510156,632098.300446081,579049.255156251,233188.916023148,71094.545078125,15346.6719332756,163117.75296875,1895.0589578052,169090.3671875,2547.7200246953,201011.269375,2177.4381230243,196108.18046875,7768.9990584216,2773129.4696875,85597.9783570328,4128266.88507813,108967.982984358
B4-1,0.0562,257.7,97.3,,0.4765,0.0037107951,148092.24296875,2328.1871645094,273990.62828125,3309.3623289526,1744925.22375,83319.9964757394,22368725.9538281,1288956.91961921,780996.78078125,254698.66458339,186308.079921875,18578.259294992,263454.08421875,3342.8580216235,171283.5796875,2604.2649518215,199925.25921875,2347.2226451549,920227.19421875,30172.2648818462,2747753.34703125,103612.865218616,8637935.25351563,283492.28688234
B4-2,0.0549,249.8,100,,0.1048,0.0012,56978.8584375,964.4402215994,58444.505,883.5690312213,1683172.23203125,82399.7992742549,21517751.5460156,1392712.16744153,788261.956406251,218826.108404356,111237.783828125,17009.0064934691,59530.6890625,949.7615472145,164299.0584375,2390.5155139015,192791.22265625,2489.3195915926,978490.2565625,35224.4409873702,2561646.07265625,88162.3418155743,2305257.12429688,76305.9170122914
B4-3,0.0559,198.7,82.3,,0.0923,0.0012,139823.31984375,1707.5133097982,65200.84109375,890.1200021936,1017151.52125,38004.9471187576,12804043.6975781,697965.552963805,753015.372499999,254757.973179222,64425.9405468754,16097.4765712158,95309.14234375,1202.1799450413,168235.19859375,2514.8629003194,195714.15765625,2433.6577067091,491024.654375,17192.4790054557,1348709.50921875,46144.9119341247,2481264.80335938,59599.4843423793
B4-4,0.0557,251.4,89.3,,0.0598,0.0011,60466.06,1108.8474878242,34315.37421875,712.0196860146,704735.95125,42021.0750859936,9490974.83664062,422458.018475902,547570.1425,191771.552952025,108715.419765625,17631.3307927584,48512.2953125,717.3849618701,171004.481875,2765.7010795881,201077.19265625,2390.8826237262,295845.13796875,14160.4703565094,813972.244375,41811.7400475542,2267577.37523438,47762.5636301529
B4-5,0.0554,234.1,89.6,,0.3459,0.0027,159359.82140625,2163.5427437928,217230.14625,2458.4138410388,1517855.44921875,70332.5639392673,19185985.2583594,1107565.69280435,697678.03171875,205190.993485315,132011.777578125,15794.1256534597,264007.879375,2396.8106972616,168638.613125,2498.9444723246,197231.81359375,2103.0831381897,882470.4453125,24601.4978499064,2789222.58296875,90426.7862773015,8617317.12570313,226794.899582462
FCTB-1,0.0549,137.2,110,,0.3897,0.003132092,80750.2834375,1239.1869250801,153974.7184375,2243.8052463024,879928.13203125,33293.6024781119,10907953.1274219,736967.191922129,637462.26171875,231205.335134911,109748.535390625,15505.9220433688,90028.1365625,1369.0443814692,166742.42609375,2590.6683706221,195299.99828125,2539.1478679458,1026544.230625,32210.0421286237,2812771.69421875,120823.520571815,1376111.29335937,42322.6913494139
FCTB-2,0.0562,145.3,107.9,,0.2988,0.0025632011,55630.0771875,1076.9022085925,147008.28796875,3336.7502375154,839777.70390625,38020.0772618476,10534924.6764844,652073.542725976,676417.9721875,218725.350889272,148547.686796875,16867.1651053206,75752.23890625,987.8957495448,170642.73828125,1947.708007106,200014.90953125,2583.0666472271,1015342.4465625,37566.9037410323,2922159.40125,116356.611154055,1161951.43867187,39672.539380876
FCTB-3,0.0551,117.7,128.9,,0.2963,0.0024698178,61791.32875,1027.0848485104,127316.673125,1825.0288302605,888492.44046875,34947.8528787376,10972237.1867969,790120.888327968,663217.1325,315700.537477599,141691.659296875,16338.2107907094,79493.06484375,1138.4636501241,166900.13140625,2497.5805909478,195036.97484375,2961.9090920392,1042996.120625,25281.8623410289,2974234.49671875,107811.634271211,1244175.33367188,36440.2717329274
